2024-11-17 22:10:03,009 [Worker-7: Loading available Gradle versions] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2024-11-17 22:48:30,581 [Worker-34: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-11-17 22:48:30,581 [Worker-34: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-11-17 22:48:30,597 [Worker-34: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-11-17 22:48:30,597 [Worker-34: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-11-17 22:48:30,597 [Worker-34: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-11-17 22:48:30,597 [Worker-34: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-11-17 22:49:02,737 [Worker-34: Creating project "simulator-socket-listener"] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.nguyendinhhung:simulator-socket-listener:1.0 @ C:\Users\Acer\Documents\API_ISO8583\API-ISO8583\simulator-socket-listener\pom.xml.
2024-11-17 22:49:03,035 [Worker-34: Creating project "simulator-socket-listener"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /simulator-socket-listener/src/main/java
2024-11-17 22:49:03,035 [Worker-34: Creating project "simulator-socket-listener"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /simulator-socket-listener/src/main/resources
2024-11-17 22:49:03,035 [Worker-34: Creating project "simulator-socket-listener"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /simulator-socket-listener/src/test/java
2024-11-17 22:49:03,035 [Worker-34: Creating project "simulator-socket-listener"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /simulator-socket-listener/src/test/resources
2024-11-17 22:49:03,317 [Worker-5: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-11-17 22:49:03,317 [Worker-5: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-11-17 22:49:03,317 [Worker-5: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-11-17 22:49:03,333 [Worker-5: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-11-17 22:49:04,380 [Worker-34: Building workspace] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: com.nguyendinhhung:API-ISO8583:1.0 @ C:\Users\Acer\Documents\API_ISO8583\API-ISO8583\pom.xml.
2024-11-17 22:49:04,595 [Worker-34: Building workspace] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.nguyendinhhung:socket-server:1.0 @ C:\Users\Acer\Documents\API_ISO8583\API-ISO8583\socket-server\pom.xml.
2024-11-17 22:49:04,616 [Worker-34: Building workspace] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.nguyendinhhung:restful-api-server:1.0 @ C:\Users\Acer\Documents\API_ISO8583\API-ISO8583\restful-api-server\pom.xml.
2024-11-17 22:49:04,943 [Worker-34: Building workspace] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.nguyendinhhung:simulator-socket-listener:1.0 @ C:\Users\Acer\Documents\API_ISO8583\API-ISO8583\simulator-socket-listener\pom.xml.
2024-11-17 22:49:05,619 [Worker-34: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-11-17 22:49:05,634 [Worker-34: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-11-17 22:49:05,634 [Worker-34: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-11-17 22:49:05,634 [Worker-34: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-11-17 22:49:05,650 [Worker-34: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-11-17 22:49:05,650 [Worker-34: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-11-17 22:49:05,650 [Worker-34: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-11-17 22:49:05,650 [Worker-34: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-11-17 22:49:05,666 [Worker-34: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-11-17 22:49:05,666 [Worker-34: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-11-17 22:49:05,666 [Worker-34: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-11-17 22:49:05,666 [Worker-34: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-11-17 22:49:44,859 [Worker-31: Creating project "simulator-socket-sender"] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.nguyendinhhung:simulator-socket-sender:1.0 @ C:\Users\Acer\Documents\API_ISO8583\API-ISO8583\simulator-socket-sender\pom.xml.
2024-11-17 22:49:45,063 [Worker-31: Creating project "simulator-socket-sender"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /simulator-socket-sender/src/main/java
2024-11-17 22:49:45,063 [Worker-31: Creating project "simulator-socket-sender"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /simulator-socket-sender/src/main/resources
2024-11-17 22:49:45,063 [Worker-31: Creating project "simulator-socket-sender"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /simulator-socket-sender/src/test/java
